"The Godfather: Part II","Crime,Drama","The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba."
"The Godfather","Crime,Drama","The story begins as "Don" Vito Corleone, the head of a New York Mafia "family", oversees his daughter's wedding with his wife Wendy. His beloved son Michael has just come home from the war, but does not intend to become part of his father's business. Through Michael's life the nature of the family business becomes clear. The business of the family is just like the head of the family, kind and benevolent to those who give respect, but given to ruthless violence whenever anything stands against the good of the family. Don Vito lives his life in the way of the old country, but times are changing and some don't want to follow the old ways and look out for community and "family". An up and coming rival of the Corleone family wants to start selling drugs in New York, and needs the Don's influence to further his plan. The clash of the Don's fading old world values and the new ways will demand a terrible price, especially from Michael, all for the sake of the family."
"The Silence of the Lambs","Crime,Drama,Thriller","A psychopath known as Buffalo Bill is kidnapping and murdering young women across the Midwest. Believing it takes one to know one, the F.B.I. sends Agent Clarice Starling to interview a demented prisoner who may provide psychological insight and clues to the killer's actions. The prisoner is psychiatrist, Dr. Hannibal Lector, a brilliant, murderous cannibal who will only help Starling if she feeds his morbid curiosity with details about her own complicated life. This twisted relationship forces Starling not only to confront her psychological demons, but leads her to face with a demented, heinous killer, an incarceration of evil so powerful, that she may not have the courage -- or strength -- to stop him!"
"Pulp Fiction","Crime,Drama,Thriller","Vincent Vega and Jules Winnfield are two hitmen on the hunt for a briefcase whose contents were stolen from their boss, Marsellus Wallace. They run into a few unexpected detours along the road. Marsellus is out of town, and he's gotten Vincent to take care of his wife, Mia. That is, take her out for a night on the town. Things go smoothly until one of them makes a huge error. Butch Coolidge is a boxer who's been approached by Marsellus and been told to throw his latest fight. When Butch ends up killing the other boxer, he must escape Marsellus. Pumpkin and Honey Bunny (not their real names) are two lovebirds/thieves who have decided to rob the restaurant they're currently eating at. But the restaurant doesn't turn out to be as easy as the other places they've robbed."
"The Shawshank Redemption","Crime,Drama","Bank Merchant Andy Defrene is convicted of the murder of his wife and her lover, and sentenced to life imprisonment at Shawshank prison. Life seems to have taken a turn for the worse, but fortunately Andy befriends some of the other inmates, in particular a character known only as Red. Over time Andy finds ways to live out life with relative ease as one can in a prison, leaving a message for all that while the body may be locked away in a cell, the spirit can never be truly imprisoned."
"Se7en","Crime,Mystery,Thriller","A film about two homicide detectives' desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic "John Doe" sermonizes to Detectives Sommerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Sommerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills scoffs at his efforts to get inside the mind of a killer..."
"Sin City","Crime,Thriller",""Sin City" is infested with criminals, crooked cops and sexy dames, some searching for vengeance, some for redemption and others, both. The film incorporates storylines from three of Miller's graphic novels including 'Sin City,' which launched the long-running, critically acclaimed series, as well as 'That Yellow Bastard' and 'The Big Fat Kill.' Where Hartigan, a cop with a bum ticker and a vow to protect stripper Nancy. Marv, the outcast misanthrope, is on a mission to avenge the death of his one true love, Goldie; there's also Dwight, the clandestine love of Shelley who spends his nights defending Gail and her Old Towne girls from Jackie Boy, a dirty cop with a penchant for violence."
"The Departed","Crime,Drama,Thriller","In South Boston, the state police force is waging war on Irish American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by his double life, gathering information about the plans and counter-plans of the operations he has penetrated. But when it becomes clear to both the mob and the police that there's a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy-and each must race to uncover the identity of the other man in time to save himself. But is either willing to turn on the friends and comrades they've made during their long stints undercover?"
"Drive","Crime,Drama","In Los Angeles, a mysterious driver is a man of few words who works as a garage mechanic for his only friend Shannon. He also moonlights as a stuntman in Hollywood films and driver of getaway cars in heists. One day, he helps his neighbor Irene, whose husband is in prison, and her son Benicio and he falls in love with her. However, a few days later her husband Standard Gabriel is released from prison and they meet each other in the building. Standard is pressed by the criminal Cook to rob a pawn shop to pay for the protection he had in prison, and the driver decides to help him by driving the getaway car. However, the heist does not work as planned, and now the driver finds he has to protect Irene and Benicio from mobsters."
"The Girl with the Dragon Tattoo","Crime,Drama,Mystery","Mikael Blomkvist is a disgraced journalist who is asked by a wealthy industrialist to write a biography on his family. But what he really wants Blomkvist to do is to find out what happened to his niece, who went missing 40 years ago. Blomkvist, at first, is not interested, till the man offers to help him clear his name. Blomkvist, begins by talking to the man's relatives who were there when the girl went missing. And some of them are not forth coming. Blomkvist eventually believes that her disappearance might have something to do with some serial killings that took place 20 years before she disappeared. So he asks for a research assistant. So the industrialist's man suggests Lisbeth Salander, a talented hacker who does background checks for them and who even did one on Blomkvist. When he sees her report, he's impressed and asks her to work with him and she does. She's anti-social but is extremely efficient."
"End of Watch","Crime,Drama,Thriller","In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach?"
"Killing Them Softly","Crime,Thriller","New Orleans, the fall of 2008. While the banking crisis grips national news, two young slackers rob a high-stakes poker game. The local Mob attorney brings in Jackie to clean things up. He's a hit man who likes to kill his victims softly. There's a code at work: Jackie surmises that he has to kill Trattman, even though he's innocent; then Jackie brings in Mickey from out of state, because one of the people who has to die knows Jackie. Can Jackie's methodical, cheery approach to his work put the local underground's finances back in order?"
"Lawless","Crime,Drama","In 1931, in Franklyn County, Virginia, Forrest Bondurant is a legend as immortal after surviving the war. Together with his brothers Howard and the coward Jack, the Bondurant family has a distillery and bootlegging business. When the corrupt District Attorney Mason Wardell arrives in Franklyn with the unscrupulous Special Deputy Charles Rakes, the Bondurant family refuses to pay the required bribe to the authorities. Rakes pursuits the brothers and unsuccessfully tries to find their distillery. Meanwhile Forrest hires the waitress Maggie, a woman with a hidden past in Chicago, and they fall in love with each other. Jack courts the preacher's daughter Bertha Minnix and deals a great load of alcoholic liquor with the powerful gangster Floyd Banner. Jack shows off in Franklyn attracting the attention of Rakes that finds the location of their distillery. When he kills the crippled Cricket Pate, the locals join forces to face the corrupt authorities."
"Trance","Crime,Drama,Mystery","In London, tart auctioneer Simon Newton teams up with gangster Franck and his gang in the heist of a valuable painting from the auction house where he works. In the runaway, Simon does not deliver the painting to Franck and he hits Simon's head and takes his package. Then Franck discovers that the painting is not in the package and he abducts Simon and tortures him with his gang to know where the painting is. Soon they realize that Simon has amnesia and Franck decides to hire a hypnotherapist to help him to remember where he hid the painting. Franck shows a directory to Simon and he selects the American hypnotherapist Elizabeth Lamb working in London in the directory and they have a hypnosis session. Soon Elizabeth contacts Franck and tells him that she wants to be her partner in the share of the painting. Soon Elizabeth has sex with Franck and she tells that Simon is obsessed on her. She also tells that she believes that he may recall where the painting is if she has sex with Simon. Elizabeth has sex with Simon and hypnotizes him in the beginning of his blurred journey between reality and daydream."
