"The Queen of Versailles","Documentary","In 2008, the Siegel family was top of the heap with the wealthy and politically influential David Siegel running the successful Westgate Resorts time-share business. To enjoy their good life, he and his engineer turned beauty queen trophy wife, Jackie, were building the largest single family private home in America. Suddenly, both the US economy and Westgate were rocked by the devastating sub-prime mortgage collapse. In the new economic reality with the business teetering on ruin, we follow the Siegels as they struggle to scale down their grotesquely ostentatious lifestyle. For this overprivileged family, accepting that situation proved a dispiriting struggle even as their unfinished dream home became a monument of their superficial values."
"5 Broken Cameras","Documentary","When his fourth son, Gibreel, is born, Emad, a Palestinian villager, gets his first camera. In his village, Bil'in, a separation barrier is being built and the villagers start to resist this decision. For more than five years, Emad films the struggle, which is led by two of his best friends, alongside filming how Gibreel grows. Very soon it affects his family and his own life. Daily arrests and night raids scare his family; his friends, brothers and himself are either shot or arrested. One Camera after another is shot at or smashed, each camera tells a part of his story."
"Fahrenheit 9/11","Documentary","Following up on 'Bowling for Columbine', film-maker Michael Moore provides deep and though-provoking insights on the American security system, the level of paranoia, fear, uncertainty, false values and patriotism, which all combined together to set a stage for George W. Bush to launch a war on Iraq instead of focusing on getting the real culprit(s) behind the terrorist attacks of September 11, 2001. This documentary also focuses on how some Saudis were safely and secretly flown out of America while planes were ostensibly grounded after the attacks. Archived film footage, candid interviews with politicians, and an overall waste of public funds for a war that was initiated on false pretension to wit: a weapon of mass distraction - to take the focus away from the real enemy and get Americans glued to their TV sets to watch innocent Iraqis and Afghans getting killed. And a war that would eventually alienate the U.S.A. and it's citizens from almost every country on Earth."
"Happy","Documentary,Drama,Family","HAPPY takes us on a journey from the swamps of Louisiana to the slums of Kolkata in search of what really makes people happy. Combining real life stories of people from around the world and powerful interviews with the leading scientists in happiness research, HAPPY explores the secrets behind our most valued emotion."
"Bully","Documentary","This year, over 13 million American kids will be bullied at school, online, on the bus, at home, through their cell phones and on the streets of their towns, making it the most common form of violence young people in this country experience. BULLY is the first feature documentary film to show how we've all been affected by bullying, whether we've been victims, perpetrators or stood silent witness. The world we inhabit as adults begins on the playground. BULLY opens on the first day of school. For the more than 13 million kids who'll be bullied this year in the United States, it's a day filled with more anxiety and foreboding than excitement. As the sun rises and school busses across the country overflow with backpacks, brass instruments and the rambunctious sounds of raging hormones, this is a ride into the unknown. For a lot of kids, the only thing that's certain is that this year, like every other, bullying will be a big part of whatever meets them at their school's front doors. Every school in the U.S. is grappling with bullying-each day more than 160,000 kids across the country are absent because they're afraid of being bullied-but for many districts it's just one more problem that gets swept under the rug. BULLY is a character-driven film. At its heart are those with the most at stake and whose stories each represent a different facet of this crisis. From the first day of school through the last, BULLY will intimately explore the lives of a few of the many courageous people bullying will touch this year."
"Undefeated","Documentary,Sport","A documentary that follows the Manassas Tigers football team, a severely underfunded and underprivileged football team -- who were even hired out as a practice team for more successful schools -- as they reverse their fortunes, thanks to coach Bill Courtney."
"Baraka","Documentary,War","Without words, cameras show us the world, with an emphasis not on "where," but on "what's there." It begins with morning, natural landscapes and people at prayer: volcanoes, water falls, veldts, and forests; several hundred monks do a monkey chant. Indigenous peoples apply body paint; whole villages dance. The film moves to destruction of nature via logging, blasting, and strip mining. Images of poverty, rapid urban life, and factories give way to war, concentration camps, and mass graves. Ancient ruins come into view, and then a sacred river where pilgrims bathe and funeral pyres burn. Prayer and nature return. A monk rings a huge bell; stars wheel across the sky."
"Blue Gold: World Water Wars","Documentary","Wars of the future will be fought over water as they are over oil today, as the source of human survival enters the global marketplace and political arena. Corporate giants, private investors, and corrupt governments vie for control of our dwindling supply, prompting protests, lawsuits, and revolutions from citizens fighting for the right to survive. Past civilizations have collapsed from poor water management. Can the human race survive?"
"West of Memphis","Documentary","West of Memphis is an examination of a failure of justice in Arkansas. The documentary tells the hitherto unknown story behind an extraordinary and desperate fight to bring the truth to light. Told and made by those who lived it, the filmmakers' unprecedented access to the inner workings of the defense, allows the film to show the investigation, research and appeals process in a way that has never been seen before; revealing shocking and disturbing new information about a case that still haunts the American South."
"Beauty Is Embarrassing","Documentary,Biography,Comedy","Raised in the Tennessee mountains, Wayne White started his career as a cartoonist in NYC. He quickly found success as one of the creators of the Pee-wee's Playhouse TV show which soon led to more work design some of the most arresting and iconic images in pop culture. Recently his word paintings featuring pithy and and often sarcastic text statements finely crafted onto vintage landscape paintings have made him a darling of the fine art world. The movie chronicles the vaulted highs and crushing lows of an artist struggling to find peace and balance between his professional work and his personal art. This is especially complicated for a man who struggles with the virtues he most often mocks in his art...Vanity, ego and fame."
"Detropia","Documentary","The woes of Detroit are emblematic of the collapse of the U.S. manufacturing base. Is the Midwestern icon actually a canary in the American coal mine? DETROPIA is a cinematic tapestry of a city and its people who refuse to leave the building, even as the flames are rising."
"Chasing Ice","Documentary,Biography","'National Geographic' photographer James Balog was once a skeptic about climate change. But through his Extreme Ice Survey, he discovers undeniable evidence of our changing planet. In 'Chasing Ice,' we follow Balog across the Arctic as he deploys revolutionary time-lapse cameras designed for one purpose: to capture a multi-year record of the world's changing glaciers. Balog's hauntingly beautiful videos compress years into seconds and capture ancient mountains of ice in motion as they disappear at a breathtaking rate. Traveling with a young team of adventurers by helicopter, canoe and dog sled across three continents, Balog risks his career and his well-being in pursuit of the biggest story in human history. As the debate polarizes America and the intensity of natural disasters ramp up around the world, 'Chasing Ice' depicts a heroic photojournalist on a mission to gather evidence and deliver hope to our carbon-powered planet"
"Happy People: A Year in the Taiga","Documentary","In vast pristine parts of Siberia's taiga (forest), life changed little over centuries, essentially remaining dependent on nature and the rhythm of the seasons. Some indigenous people of the village Bakhtia at the river Yenisei show how most aspects of daily/annual life are still passed on from father(-figure) to knave, such as logging and hunting, often using the same natural materials, with an occasional technological innovation, such as the chainsaw."
