"Psycho","Horror,Mystery,Thriller","In a spur of the moment decision, Marion Crane decides to leave Phoenix with the $40,000 her boss entrusted to her to deposit at the bank. She's headed to her boyfriend Sam in Fairvale, California and the money will finally let them start their life together. After having spent a night in her car, she can't quite make all the way and spends her second night at the Bates Motel. There she meets Norman Bates, a shy and withdrawn young man who seems to be dominated by his mother. They chat for a while and as a result she decides to go back to Phoenix and return the money. She's still going to spend the night at the motel and decides to have a shower before going to bed. A week later Marion's sister arrives at Sam's store in Fairvale to tell him Marion has disappeared. Together with a private detective, Milton Arbogast, they begin searching the area and eventually come across the Bates Motel."
"The Shining","Horror,Mystery","A novelist - Jack Torrance take a job interview as winter caretaker of the isolated, old, huge and beautiful Overlook Hotel. In the interview, Jack is told by the manager himself, that the previous caretaker - Grady, chopped his family and later killed himself with a shotgun. Ignoring the story, Jack brings his wife - Wendy and his son Danny. It happens that Danny, has a mysterious power known as "The Shining" that shows him things from the past and future. Some of the visions come from Tony - "the little boy who lives in Danny's mouth". Danny meets Hallorann - the hotel cook in their first day arriving at the Overlook, who also has this "Shining" and he warns him about the hotel and the sinister Room 237. As the days go by, Danny has visions of previous guests and employees who died at the hotel years before, meanwhile Jack starts driving into insanity, turning more and more aggressive, at the point that Danny and Wendy gets convinced that Jack might try to do the same thing, Grady did."
"Alien","Horror,Sci-Fi","While returning from a deep-space mission, the crew of the commercial spaceship Nostromo is awakened by a supposed SOS call from a system they are passing through. Descending to the planet's surface, they discover a strange derelict spaceship - the apparent source of the transmission - and one of the crew descends into the hold. What he finds are thousands of strange alien eggs. While examining one of the eggs, it hatches and the parasite inside attacks him. After returning to the Nostromo the crew takes off again to head for Earth. The alien parasite subsequently dies and all seems well again. But what no one knows is that another alien is quietly forming within its host - and when it emerges, the crew finds itself in serious trouble."
"The Thing","Horror,Mystery,Sci-Fi","In the midst of the Antartican snowfield, the scientists and workers of a small American research base are shocked when a helicopter begins to circle their camp, chasing and shooting at a dog. When the helicopter is destroyed and the passengers are killed, the dog is let into the base and the American's begin to wonder what has actually happened. The helicopter has Norwegian markings, must be from the Norwegian base not too far from their own. A team of Americans are sent to the Norwegian base and find out what has happened. On arrival, they find that the place has been totally destroyed. They also discover a mangled body that looks as though it was once that of a person, which they bring back with them for further study. It is only then that the clues begin to add up; the dog morphs horribly into a strange creature that attacks the researchers. They manage to fight it off, but they come to a terrible conclusion: an alien with the power to transform and take the appearance of anybody else is amongst them. Who is infected already, and who can be trusted? Helicopter pilot J.R MacReady sets out to find the answers to exactly that."
"Jaws","Adventure,Horror,Thriller","Martin Brody is the new police chief of Amity, an island resort town somewhere in New England. He has a wife named Ellen, and two sons named Michael and Sean. On a Summer morning, Brody is called to the beach, where the mangled body of Summer vacationer Chrissie Watkins has washed ashore. The medical examiner tells Brody that it could have been a shark that killed Watkins. Mayor Larry Vaughn, who is desperate to not lose the money that will be brought in by 4th of July tourists, wants Brody to say Watkins's death was caused by a motorboat propeller instead of a shark, because the thought of a shark in Amity's waters would drive tourists away from Amity. It looks like Vaughn is a mayor who puts money ahead of people's lives. Shark expert Matt Hooper believes Watkins was killed by a shark. Hooper is proven right a few days later, when Alex Kintner is killed by the shark that killed Watkins. Looking for the quickest solution, Vaughn tells all of the local fishermen to let him know if they see the shark. A shark hunter named Quint offers to find the shark and kill it, but Vaughn thinks Quint's price of $10,000 is too high. When a tiger shark is killed and hauled in by a couple of boaters, Vaughn hastily says that the shark crisis is over, but Hooper says the shark that's been killing people a huge great white shark is still in Amity's waters, but Vaughn leaves the beaches opened because all he cares about is the 4th of July tourist money. On the 4th of July, Vaughn encourages people to swim at the beach, and Hooper is proven right again when the shark kills a man, biting the man's leg off. Michael, who was in the water at the time of the attack, is taken to the hospital, where he's treated for shock after watching the shark kill the guy. Brody asks Vaughn to hire Quint to find the shark. Because his own kids were at that beach too, Vaughn agrees to hire Quint to find the shark. Quint, Hooper, and Brody are sent out to sea in Quint's boat, the Orca, ready to do whatever it takes to find the shark."
"Let the Right One In","Drama,Horror","In the suburb of Blackeberg in Stockholm, the twelve year-old Oskar is a lonely and outcast boy bullied in school by Conny and two other classroom mates; at home, Oskar dreams on revenging the trio of bullies. He befriends his twelve year-old next door neighbor Eli that only appears during the night in the playground of their building. Meanwhile, Eli's father is a serial-killer who drains the blood of his victims to supply Eli, so she doesn't have to kill. Eli advises Oskar to react to Conny fighting back; however, he soon discovers that she is a vampire and he feels fear and love for the girl."
"Dawn of the Dead","Horror","Sequel of "Night of the Living Dead." It's some time after the dead have started to rise and attack the shocked living, and civilization has started to crumble. In the city of Philadelphia, Pennsylvania, USA, TV station workers Stephen and Francine decide to run as the situation worsens and, after meeting Roger and Peter, two special policemen ordered to move any people into rescue stations who have also choose to run, steal the station's helicopter and fly west in an attempt to find a safe place. After several attempts during their flight across Pennsylvania, they find a deserted mega-mall in Monroeville, outside Pittsburgh, and decide to wait there until the crisis is over. They clear the mall of the undead and board the entrances up with tractor-trailers and then sit down and wait. Can they hold out, not only against the growing, moaning, and hungry masses of the undead outside, against murderous looters, but, most importantly of all, can they hold out and not lose their sanity...?"
"The Exorcist","Horror","A movie actress taking up temporary residence in Washington D.C. has her troubles. The script for the movie she's filming seems inadequate. Her ex, who is also the father of her adolescent daughter, Regan, neglects to call the girl on her birthday. And the attic has rats. Meanwhile, Father Karras, a priest and a psychiatrist, is losing his faith; and he's dealing with a sick mother who needs medical care he hasn't the money to provide. Another priest, the old and ailing Father Merrin, has just returned from Iraq with forebodings of evil. These three persons meet when the sweet and cheerful Regan turns foul-mouthed and violent. But her sickness is beyond the reach of a medical doctor or a psychiatrist. What Regan needs is an exorcist."
"The Vampire Diaries","Drama,Fantasy,Horror","Mystic falls becomes the target town for vampires with the return of Stefan & Damon Salvatore. Stefan, the controlled brother who's focused on his humanity, enrolls at high school attempting a normal life whereas his brother Damon, the dashing, gorgeous, irresistible and dangerous brother makes Stefan's life a misery while trying to steal his girlfriend, Elena, along the way. With the confusing emotions, deceiving acts and hidden talents, comes a deep history from 1864 that Damon is determined to overcome by rescuing the Salvatore brothers' old love, Katherine, with the help of Elena's witch friend."
"Freaks","Drama,Horror,Thriller","A traveling circus has a wide variety of acts, including a number of sideshow curiosities based on some unusual physical attributes. They include midgets, limbless people, pinheads, conjoined twins, a bearded lady, and a half man/half woman. There are many interpersonal interactions between the entire troupe, those interactions which are generally amiable, although there are some who treat the curiosities merely as freaks. However, there are few romantic relationships between the "normal" troupe members and the curiosities. One of those exceptions is the budding romantic relationship between Hans and Cleopatra, one of the midgets and a trapeze artist respectively. What Hans is unaware of is that Cleopatra only fosters that relationship because of the expensive gifts he lavishes on her, while in reality she carries on with who is probably the antithesis of Hans physically, Hercules, the muscle man. A fellow midget, Frieda, who was once engaged to Hans and who she still loves, believes Cleopatra's interest in Hans is solely to make fun. But Frieda inadvertently provides Cleopatra with some information which changes Cleopatra's resolve instead to marry Hans. Hans' fellow sideshow curiosities do whatever they need to protect their dignity and that of one of their own."
