"Pulp Fiction","Crime,Drama,Thriller","Vincent Vega and Jules Winnfield are two hitmen on the hunt for a briefcase whose contents were stolen from their boss, Marsellus Wallace. They run into a few unexpected detours along the road. Marsellus is out of town, and he's gotten Vincent to take care of his wife, Mia. That is, take her out for a night on the town. Things go smoothly until one of them makes a huge error. Butch Coolidge is a boxer who's been approached by Marsellus and been told to throw his latest fight. When Butch ends up killing the other boxer, he must escape Marsellus. Pumpkin and Honey Bunny (not their real names) are two lovebirds/thieves who have decided to rob the restaurant they're currently eating at. But the restaurant doesn't turn out to be as easy as the other places they've robbed."
"The Silence of the Lambs","Crime,Drama,Thriller","A psychopath known as Buffalo Bill is kidnapping and murdering young women across the Midwest. Believing it takes one to know one, the F.B.I. sends Agent Clarice Starling to interview a demented prisoner who may provide psychological insight and clues to the killer's actions. The prisoner is psychiatrist, Dr. Hannibal Lector, a brilliant, murderous cannibal who will only help Starling if she feeds his morbid curiosity with details about her own complicated life. This twisted relationship forces Starling not only to confront her psychological demons, but leads her to face with a demented, heinous killer, an incarceration of evil so powerful, that she may not have the courage -- or strength -- to stop him!"
"Jack Reacher","Action,Crime,Thriller","When 5 seemingly random people are shot by a sniper an investigation leads the police to former Army sniper who has a history of shooting people in the streets when he was in the Army. When he meets his lawyer, Alex Rodin, all he tells her is to find Jack Reacher. She learns that Reacher is a former Army Criminal Investigator. Reacher upon hearing the news arrives. He learns Rodin wants him to help her defend the guy but Reacher doesn't want to help him. It seems that Reacher was the one who investigated the shootings he committed when he was in the Army but the Army opted not to prosecute. He told the man that if he did it again, Reacher will come after him. Reacher agrees to look into it if Rodin tries to look at the people he killed. She does and Reacher goes to tell her that the shootings were not the man's m.o. Reacher suspects someone is framing him. So he and Rodin try to find out why and who."
"Goodfellas","Biography,Crime,Drama","This film views the mob lives of three pivotal figures in the 1960's and 70's New York. Henry Hill is a local boy turned gangster in a neighborhood full of the roughest and toughest. Tommy Devito is a pure bred gangster, who turns out to be Henry's best friend. Jimmy Conway puts the two of them together, and runs some of the biggest hijacks and burglaries the town has ever seen. After an extended jail sentence, Henry must sneak around the back of the local mob boss, Paulie Cicero, to live the life of luxury he has always dreamed of. In the end, the friends end up in a hell of a jam, and must do anything they can to save each other, and stay alive."
"Se7en","Crime,Mystery,Thriller","A film about two homicide detectives' desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic "John Doe" sermonizes to Detectives Sommerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Sommerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills scoffs at his efforts to get inside the mind of a killer..."
"Sin City","Crime,Thriller",""Sin City" is infested with criminals, crooked cops and sexy dames, some searching for vengeance, some for redemption and others, both. The film incorporates storylines from three of Miller's graphic novels including 'Sin City,' which launched the long-running, critically acclaimed series, as well as 'That Yellow Bastard' and 'The Big Fat Kill.' Where Hartigan, a cop with a bum ticker and a vow to protect stripper Nancy. Marv, the outcast misanthrope, is on a mission to avenge the death of his one true love, Goldie; there's also Dwight, the clandestine love of Shelley who spends his nights defending Gail and her Old Towne girls from Jackie Boy, a dirty cop with a penchant for violence."
"The Departed","Crime,Drama,Thriller","In South Boston, the state police force is waging war on Irish American organized crime. Young undercover cop Billy Costigan is assigned to infiltrate the mob syndicate run by gangland chief Frank Costello. While Billy quickly gains Costello's confidence, Colin Sullivan, a hardened young criminal who has infiltrated the state police as an informer for the syndicate is rising to a position of power in the Special Investigation Unit. Each man becomes deeply consumed by his double life, gathering information about the plans and counter-plans of the operations he has penetrated. But when it becomes clear to both the mob and the police that there's a mole in their midst, Billy and Colin are suddenly in danger of being caught and exposed to the enemy-and each must race to uncover the identity of the other man in time to save himself. But is either willing to turn on the friends and comrades they've made during their long stints undercover?"
"The Prestige","Drama,Mystery,Thriller","A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences. From the time that they first met as young magicians on the rise, Robert Angier and Alfred Borden were competitors. However, their friendly competition evolves into a bitter rivalry making them fierce enemies-for-life and consequently jeopardizing the lives of everyone around them. Set against the backdrop of turn-of-the-century London."
"V for Vendetta","Action,Sci-Fi,Thriller","In the not too distant future, Britain is filled with torture cells, unfair punishments, prejudice against minorities. However in the mist of all this chaos, one man known only by the name V dares to stand up to the government and is labeled as a terrorist. One night V rescues a mild young woman called Evey Hammond and an unlikely bond between the two emerges which results with Evey becoming Vs ally. But though V may be charismatic and have a passion for justice he also is bitter and has his own personal hatred of the government for something they did to him long ago. As November the 5th, the day V says he and those who will follow him will stand up to the government once and for all approaches, Detective Finch becomes more and more determined to uncover the truth about V, however his search leads him to ask to question whether or not he is on the right side."
"Casino Royale","Action,Crime,Thriller","Casino Royale introduces James Bond before he holds his license to kill. But Bond is no less dangerous, and with two professional assassinations in quick succession, he is elevated to '00' status. Bond's first 007 mission takes him to Uganda where he is to spy on a terrorist, Mollaka. Not everything goes to plan and Bond decides to investigate, independently of MI6, in order to track down the rest of the terrorist cell. Following a lead to the Bahamas, he encounters Dimitrios and his girlfriend, Solange. He learns that Dimitrios is involved with Le Chiffre, banker to the world's terrorist organizations. Secret Service intelligence reveals that Le Chiffre is planning to raise money in a high-stakes poker game in Montenegro at Le Casino Royale. MI6 assigns 007 to play against him, knowing that if Le Chiffre loses, it will destroy his organization. 'M' places Bond under the watchful eye of the beguiling Vesper Lynd. At first skeptical of what value Vesper can provide, Bond's interest in her deepens as they brave danger together and even torture at the hands of Le Chiffre. In Montenegro, Bond allies himself with Mathis MI6's local field agent, and Felix Leiter who is representing the interests of the CIA. The marathon game proceeds with dirty tricks and violence, raising the stakes beyond blood money and reaching a terrifying climax."
