"The Hunger Games: Catching Fire","Action,Adventure,Sci-Fi","A year after winning the 74th Hunger Games, Katniss Everdeen and her partner, Peeta Mellark must go on what is known as the Victor's Tour wherein they visit all the districts. But before leaving, Katniss is visited by President Snow who fears that Katniss defied him a year ago during the games when she chose to die with Peta. With both Katniss and Peeta declared the winners, it is fueling a possible uprising. He tells Katniss that while on tour she better try to make sure that she puts out the flames or else everyone she cares about will be in danger. But unfortunately she fails to do that. So Snow decides to enact what is known as the Quarter Quell, the right to make a change to the Hunger Games, which he is allowed to do every 25 years. He decides to hold an edition of the Hunger Games wherein previous winners will compete again. Their mentor Haymitch thinks their best chance to survive is form an alliance with some of the others. They decide to align themselves with Finnick and his partner, Mags. But Snow is secretly hoping Katniss will be killed."
"Gravity","Drama,Sci-Fi,Thriller","Dr. Ryan Stone (Sandra Bullock) is a brilliant medical engineer on her first shuttle mission, with veteran astronaut Matt Kowalsky (George Clooney) in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The shuttle is destroyed, leaving Stone and Kowalsky completely alone - tethered to nothing but each other and spiraling out into the blackness."
"Jupiter Ascending","Action,Adventure,Sci-Fi","Jupiter Jones was born under a night sky, with signs predicting that she was destined for great things. Now grown, Jupiter dreams of the stars but wakes up to the cold reality of a job cleaning toilets and an endless run of bad breaks. Only when Caine, a genetically engineered ex-military hunter, arrives on Earth to track her down does Jupiter begin to glimpse the fate that has been waiting for her all along - her genetic signature marks her as next in line for an extraordinary inheritance that could alter the balance of the cosmos."
"The Hunger Games","Adventure,Sci-Fi,Thriller","In order to control future rebellions remembering the past rebellion, the Powers That Be of the dystopian society of Panem force two youngsters from each of the twelve districts to participate in The Hunger Games. The rules are very simple: the twenty-four players must kill each other and survive in the wilderness until only one wins by surviving. The games are broadcast through the Capital and the twelve districts to entertain and intimidate the population. In District 12, the teenager Katniss Everdeen is a great hunter and archer. When her younger sister Primrose Everdeen is selected as one of the representatives of their district, Katniss volunteers to take her place in the games. Together with Peeta Mellark, they head by train to the Capital to be trained for the brutal game."
"X-Men: Days of Future Past","Action,Adventure,Fantasy","The ultimate X-Men ensemble fights a war for the survival of the species across two time periods in X-Men: Days of Future Past. The characters from the original X-Men film trilogy join forces with their younger selves from X-Men: First Class in an epic battle that must change the past - to save our future."
"Man of Steel","Action,Adventure,Fantasy","A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind."
"Divergent","Action,Adventure,Romance","Set in a futuristic dystopia where society is divided into five factions that each represent a different virtue, teenagers have to decide if they want to stay in their faction or switch to another - for the rest of their lives. Tris Prior makes a choice that surprises everyone. Then Tris and her fellow faction-members have to live through a highly competitive initiation process to live out the choice they have made. They must undergo extreme physical and intense psychological tests, that transform them all. But Tris has a secret that she is Divergent, which means she doesn't fit into any one group. If anyone knew, it would mean a certain death. As she discovers a growing conflict that threatens to unravel her seemingly perfect society, this secret might help her save the people she loves... or it might destroy her."
"The Wolverine","Action,Adventure,Fantasy","Logan has become a hermit, living in the woods alone and haunted by nightmares with Jean Grey. One day, the Japanese girl Yukio, who is skilled with a samurai sword, visits Logan and tells that her grandfather, the powerful businessman Yashida, is dying and wants to see him for the last time before dying. Yashida was a Japanese soldier that Logan saved the life of in Nagasaki in the World War II. Logan travels Japan with Yukio and the moribund Yashida offers mortality to Logan, transferring his gift to him, but Logan does not accept the offer. While sleeping, Logan has a weird dream with Yashida's doctor Viper and soon Yashida dies. Logan stays for the funeral and the Yakuza tries to abduct Yashida's granddaughter Mariko during the ceremony. Logan saves and flees with Mariko, but he is shot and does not heel the wounds. Logan protects Mariko and tries to find what has happened to him."
"Elysium","Action,Drama,Sci-Fi","In the future, Earth is over populated and decimated my pollution and disease that the wealthy build a colony in space called Elysium where only the wealthy can live and the poor have to make do with life on Earth. But there are those who try to go to Elysium because among the benefits they have is a machine that heal anyone. Max who grew up among the poor, who would become a thief to survive. But after being incarcerated and now on parole he works at Armadyne the company that built Elysium and so many of the things they use there. But when he is accidentally exposed to radiation, he is told he only has 5 days to live. So he decides to go to Elysium to use the machine but how does he go there. He turns to Spider, a friend who tries to get people to Elysium for a price. But Max can't pay him so Spider offers him a proposition; that he try to get information out of the mind of Armadyne's CEO, literally and put it in his and give it to Spider so he can use it. Max agrees so Spider has him surgically fitted with a computer and special exo skeleton. And they get set to go after the CEO. But what they don't know is that CEO made a deal with the Secretary Defense Delacourt. It seems Delacourt's strong arm tactics such as using rogue operatives on Earth like a man named Kruger to stop anyone on Earth from coming to Elysium, doesn't make the President happy. So the President warns Delacourt she better clean up her act or else. That's when Delacourt asks the CEO to make a program that can allow her to remove the President and replace him. He agrees and implanted in his head and was on his way to bring it to Delacourt when Max stops him. Delacourt sends Kruger to stop them but Max gets the info out of the CEO and the CEO is killed. So Delacourt tells Kruger to get Max alive so they can get it out of him. Max is injured and goes to an old friend, Fray for help. After helping him, Max goes to Spider to give him the info and when Spider sees what he got, he tells him that this could mean changing the system. But Max's first concern is getting to Elysium to help himself. Kruger learns that Max was at Fray's so he takes her and HEr daughter with them to find Max."
"Dawn of the Planet of the Apes","Action,Drama,Sci-Fi","A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier. They reach a fragile peace, but it proves short-lived, as both sides are brought to the brink of a war that will determine who will emerge as Earth's dominant species."
