"Saving Private Ryan","Action,Drama,War","Opening with the Allied invasion of Normandy on 6 June 1944, members of the 2nd Ranger Battalion under Cpt. Miller fight ashore to secure a beachhead. Amidst the fighting, two brothers are killed in action. Earlier in New Guinea, a third brother is KIA. Their mother, Mrs. Ryan, is to receive all three of the grave telegrams on the same day. The United States Army Chief of Staff, George C. Marshall, is given an opportunity to alleviate some of her grief when he learns of a fourth brother, Private James Ryan, and decides to send out 8 men (Cpt. Miller and select members from 2nd Rangers) to find him and bring him back home to his mother..."
"Schindler's List","Biography,Drama,History","Oskar Schindler is a vainglorious and greedy German businessman who becomes unlikely humanitarian amid the barbaric Nazi reign when he feels compelled to turn his factory into a refuge for Jews. Based on the true story of Oskar Schindler who managed to save about 1100 Jews from being gassed at the Auschwitz concentration camp. A testament for the good in all of us."
"Inglourious Basterds","Adventure,Drama,War","It's WWII, the battleground, Nazi-occupied France. The Nazis are doing whatever they need to to flush out and exterminate Jews, the most proficient and prolific of the Jew hunters being the sadistic SS Colonel Hans Landa. As such, the American military forms a unit, led by Lieutenant Aldo Raine and comprised of eight Jews, to kill as many Nazis as possible. Raine requests each of his men to bring him the scalp of at least 100 Nazis apiece. He has his own method of ensuring that those Nazis he does allow or need to let go free are scarred for life. In Paris in 1944, Joseph Goebbels, the Nazi's chief propaganda master and filmmaker, plans to debut his latest film, "Nation's Pride". The film, based on the victorious military exploits of Private Fredrick Zoller, stars Zoller as himself. Because of his attraction to its pretty proprietress Emmanuelle Mimieux, Zoller convinces Goebbels and the Nazi brass to hold the premiere at Mimieux's cinema. Landa is to act as chief of security for the event. When the Americans get wind of the screening and the fact that most of the Nazi highers-up will be in attendance, Raine's team is tasked with blowing up the cinema during the screening. They are assisted by renowned German actress, Bridget von Hammersmark, who has been working as a spy for the British. They believe luck is on their side when they learn that Hitler himself is scheduled to attend. Beyond being found out, Raine's team face two as of yet unknown issues. The first is Mimieux, who is really Shoshanna Dreyfus, a Jew who saw her family brutally murdered by Landa four years earlier, and who may have her own plans for Landa and the Nazis. The second is Landa, who beyond his up front mission, has another more personal mission for his life post-war unknown to anyone but himself."
"Braveheart","Action,Biography,Drama","William Wallace is a Scottish rebel who leads an uprising against the cruel English ruler Edward the Longshanks, who wishes to inherit the crown of Scotland for himself. When he was a young boy, William Wallace's father and brother, along with many others, lost their lives trying to free Scotland. Once he loses another of his loved ones, William Wallace begins his long quest to make Scotland free once and for all, along with the assistance of Robert the Bruce."
"300","Action,Fantasy,History","300 tells the story of the Battle of Thermopylae in 480 B.C. Persians under the rule of King Xerxes have already taken over some of the Hellenic city-states, and now threaten Sparta and Athens. King Leonidas of Sparta is left with two options: he will either have to sacrifice himself for the well-being of Sparta or watch it burn to the ground. Choosing the former, Leonidas forms an army of 300 Spartan warriors to block the narrow passage of Thermopylae where Xerxes intends to reach Hellas. The 300 are accompanied by about 700 Thespians who protect the flanks of the passage, and combined, the forces manage to slay tens of thousands of Persians and prevent their entry into Hellas for several days. However, Ephialtes, a reject of the Spartan Army gets his revenge by showing Xerxes a secret goat passage up the flanks of the passage. The story depicts the epic last stand of the finest Spartan soldiers who are aware of their fate, but motivated by "honor and glory", see the battle as their duty to protect the rest of Greece for as long as possible."
"El laberinto del fauno","Drama,Fantasy,War","In 1944, in the post-Civil War in Spain, rebels still fight in the mountains against the fascist troops. The young and imaginative Ofelia travels with her pregnant and sick mother Carmen Vidal to the country to meet and live with her stepfather, the sadistic and cruel Captain Vidal, in an old mill. During the night, Ofelia meets a fairy and together they go to a pit in the center of a maze where they meet a faun that tells that she is a princess from a kingdom in the underground. He also tells that her father is waiting for her, but she needs to accomplish three gruesome, tough and dangerous assignments first. Meanwhile, she becomes friend of the servant Mercedes, who is the sister of one of the rebels and actually is giving support to the group. In a dark, harsh and violent world, Ofelia lives her magical world trying to survive her tasks and sees her father and king again."
"Apocalypse Now","Drama,War","It is the height of the war in Vietnam, and U.S. Army Captain Willard is sent by Colonel Lucas and a General to carry out a mission that, officially, 'does not exist - nor will it ever exist'. The mission: To seek out a mysterious Green Beret Colonel, Walter Kurtz, whose army has crossed the border into Cambodia and is conducting hit-and-run missions against the Viet Cong and NVA. The army believes Kurtz has gone completely insane and Willard's job is to eliminate him! Willard, sent up the Nung River on a U.S. Navy patrol boat, discovers that his target is one of the most decorated officers in the U.S. Army. His crew meets up with surfer-type Lt-Colonel Kilgore, head of a U.S Army helicopter cavalry group which eliminates a Viet Cong outpost to provide an entry point into the Nung River. After some hair-raising encounters, in which some of his crew are killed, Willard, Lance and Chef reach Colonel Kurtz's outpost, beyond the Do Lung Bridge. Now, after becoming prisoners of Kurtz, will Willard & the others be able to fulfill their mission?"
"Full Metal Jacket","Drama,War","Full Metal Jacket begins by following the trials and tribulations of a platoon of fresh Marine Corps recruits focusing on the relationship between Gunnery Sergeant Hartman and Privates Pyle and Joker. We see Pyle grow into an instrument of death as Hartman has foreseen of all of his recruits. Through Pyle's torment and Joker's unwillingness to stand up against it the climax of part one is achieved with all three main characters deciding their fates by their action or inaction. The second chapter delves into Joker's psyche and the repeated referral to the fact that he joined the Corps to become a killer. When his mostly behind the scenes job as a combat correspondent is interfered with by the Tet offensive he is thrust into real combat and ultimately must decide if he really is a killer."
"The Pianist","Biography,Drama,History","The true story of Wladyslaw Szpilman who, in the 1930s, was known as the most accomplished piano player in all of Poland, if not Europe. At the outbreak of the Second World War, however, Szpilman becomes subject to the anti-Jewish laws imposed by the conquering Germans. By the start of the 1940s, Szpilman has seen his world go from piano concert halls to the Jewish Ghetto of Warsaw and then must suffer the tragedy of his family deported to a German concentration camps, while Szpilman is conscripted into a forced German Labor Compound. At last deciding to escape, Szpilman goes into hiding as a Jewish refugee where he is witness to the Warsaw Ghetto Uprising (April 19, 1943 - May 16, 1943) and the Warsaw Uprising (1 August to 2 October 1944)"
"Casablanca","Drama,Romance,War","During World War II, Europeans who were fleeing from the Germans, sought refuge in America. But to get there they would first have to go Casablanca and once they get there, they have to obtain exit visas which are not very easy to come by. Now the hottest spot in all of Casablanca is Rick's Cafe which is operated by Rick Blaine, an American expatriate, who for some reason can't return there, and he is also extremely cynical. Now it seems that two German couriers were killed and the documents they were carrying were taken. Now one of Rick's regulars, Ugarte entrusts to him some letters of transit, which he intends to sell but before he does he is arrested for killing the couriers. Captain Renault, the Chief of Police, who is neutral in his political views, informs Rick that Victor Laszlo, a resistance leader from Czechoslovakia, is in Casablanca and will do anything to get an exit visa but Renault has been "told" by Major Strasser of the Gestapo, to keep Laszlo in Casablanca. Laszlo goes to Rick's to meet Ugarte, because he was the one Ugarte was going to sell the letters to. But since Ugarte was arrested he has to find another way. Accompanying him is Ilsa Lund, who knew Rick when he was in Paris, and when they meet some of Rick's old wounds reopen. It is obvious that Rick's stone heart was because of her leaving him. And when they learn that Rick has the letters, he refuses to give them to him, because "he doesn't stick his neck out for anyone"."
